                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
 AC-1200013-52DAC8EDF8F94D438C61B290FB5F610D;361.002;AC;Acrelândia;0.361;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-7258A655B9A7491FA0CF0473861AB828;430.433;AC;Acrelândia;0.4304;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 AC-1200013-C9BD1F0FA1754895B3756F82D6C1A984;431.457;AC;Acrelândia;0.4315;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-BF3D929BBE96454898319DA3216F4364;1.004.867;AC;Acrelândia;10.049;IRU;AT;Em análise
 AC-1200013-43EECDEA57454C80B1CC4251A150FDBE;377.203;AC;Acrelândia;0.377;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-F20C2201959C4989BB18CDA13E3CCCC1;272.334;AC;Acrelândia;0.2723;IRU;AT;Aguardando analise
 AC-1200013-4C5F7FD5B92A4B298213A5380C983F49;729.988;AC;Acrelândia;0.73;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-ECC4888DDBA24CE88E858748CBC47023;399.351;AC;Acrelândia;0.3994;IRU;AT;Aguardando analise
 AC-1200013-A148607505584C7CB2DE548239E93FBD;473.346;AC;Acrelândia;0.4733;IRU;AT;Aguardando analise
 AC-1200013-91B55585640A47AA9990E59738053EC6;306.927;AC;Acrelândia;0.3069;IRU;PE;Analisado com pendências, aguardando retificação
 AC-1200013-30BBD95904D841648AF34D9AE54D5160;407.827;AC;Acrelândia;0.4078;IRU;PE;Aguardando analise
 AC-1200013-3DC95570591A46D9984B6225D033D120;700.587;AC;Acrelândia;0.7006;IRU;AT;Em análise
 AC-1200013-89D5D0801813405DB4F5B664FBF693A6;506.356;AC;Acrelândia;0.5064;IRU;AT;Aguardando análise
 AC-1200013-84515DF685D14588944192CDD89F643A;451.403;AC;Acrelândia;0.4514;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-3ED7E460B937480F8C640997ABD22B90;437.273;AC;Acrelândia;0.4373;IRU;AT;Aguardando análise
 AC-1200013-FD4758061CD74687BF34D267BD8441AC;529.073;AC;Acrelândia;0.5291;IRU;AT;Aguardando análise
 AC-1200013-0F8DB6368C3646D9902155D7DE7E5A68;870.341;AC;Acrelândia;0.8703;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-E2D807C8CD784A469E712942DB74757F;60.715;AC;Acrelândia;0.0607;IRU;AT;Aguardando análise
 AC-1200013-ACB5D0D915E74C03A7791C96B67CEE29;38.627;AC;Acrelândia;0.0386;IRU;AT;Aguardando análise
 AC-1200013-445137CAE7D84F398BBDEE504BC7A8E3;396.403;AC;Acrelândia;0.3964;IRU;AT;Em análise
 AC-1200013-0B8EB40D1C48421A8E5D9823A51F3132;96.374;AC;Acrelândia;0.0964;IRU;AT;Aguardando análise
 AC-1200013-3E39C03BBCDB4825B7B41BB0F53D21E0;274.245;AC;Acrelândia;0.2742;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-016E1D4E21244C37B380AA8B7A330192;468.241;AC;Acrelândia;0.4682;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-0298E246214E465D86EA499A2B7B1BA9;997.185;AC;Acrelândia;0.9972;IRU;AT;Aguardando analise
 AC-1200013-8E0C2A669E5440AC99F0730D68095024;517.743;AC;Acrelândia;0.5177;IRU;AT;Aguardando analise
 AC-1200013-534718B75D1D4B38B79D0FC468EC3DD9;298.145;AC;Acrelândia;0.2981;IRU;AT;Aguardando analise
 AC-1200013-C66C36137F6E458E9E002873DEFCEC1F;606.467;AC;Acrelândia;0.6065;IRU;AT;Em análise
 AC-1200013-071647E4728A4FD88121F3E442D6C7F7;901.168;AC;Acrelândia;0.9012;IRU;PE;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-DD5C3089601A4319996B4C32592B7E60;428.045;AC;Acrelândia;0.428;IRU;AT;Aguardando analise
 AC-1200013-C2A26CCCF8E6410998C010FE7943A90C;429.536;AC;Acrelândia;0.4295;IRU;PE;Aguardando analise
 AC-1200013-D32C9851BA82495DAB92E84F716E6FC2;732.592;AC;Acrelândia;0.7326;IRU;PE;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-E464F4C104BC455CAE57E4F52EFFABD0;307.111;AC;Acrelândia;0.3071;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-E061E883924C4BF7A7FBB78C4D8E45AD;77.037;AC;Acrelândia;0.077;IRU;AT;Aguardando analise
 AC-1200013-BE4ADBCEF38F42BFAAA631C2AE8BE3A2;377.316;AC;Acrelândia;0.3773;IRU;AT;Aguardando análise
 AC-1200013-689A9A1B950C49B0ACD144FBD0EA0506;39.167;AC;Acrelândia;0.0392;IRU;AT;Em análise
 AC-1200013-55D708C26B9B469A98A9945BF90397A3;56.349;AC;Acrelândia;0.0563;IRU;AT;Aguardando análise
 AC-1200013-DACBE88FAAB54CE0A6FD788DB3AE6B11;638.629;AC;Acrelândia;0.6386;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-E769969820A14470BEC7105359CE4F24;550.776;AC;Acrelândia;0.5508;IRU;AT;Analisado com pendências, aguardando retificação
 AC-1200013-5924D64276314E41AC94AF90B8B2D830;224.734;AC;Acrelândia;0.2247;IRU;AT;Aguardando analise
 AC-1200013-8E06BE98EA1A4FA1AA8811DD5381497A;935.574;AC;Acrelândia;0.9356;IRU;AT;Em análise
 AC-1200013-55B44B00D1ED4D0EA816A975B19E770F;632.329;AC;Acrelândia;0.6323;IRU;PE;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-5F1CE22D137C4F86BFA75861412E5FD4;997.247;AC;Acrelândia;11.991;IRU;AT;Aguardando analise
 AC-1200013-87FCAECBBB7F4676ACB665BDB2B542DA;56.349;AC;Acrelândia;0.0563;IRU;AT;Em análise
 AC-1200013-5E3C204A709A4102978D04B05AE647F1;777.850;AC;Acrelândia;0.7778;IRU;AT;Aguardando análise
 AC-1200013-2E80841AB91E46E49C0A9841C218B52A;436.655;AC;Acrelândia;0.4367;IRU;AT;Aguardando análise
 AC-1200013-0585A483BCBF4D81A6C9A57A49C88D78;745.242;AC;Acrelândia;0.7452;IRU;AT;Analisado com pendências, aguardando retificação
 AC-1200013-1E60641C2F794FB2943DC5F1C40456E6;630.214;AC;Acrelândia;0.6302;IRU;AT;Aguardando análise
 AC-1200013-E3B3A9ADC70745998603F7635B62AEA2;688.066;AC;Acrelândia;0.6881;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12)
 AC-1200013-A24BFA82AC73441291991B549BE3BE20;745.092;AC;Acrelândia;0.7451;IRU;AT;Em análise
 AC-1200013-C49D60193F6B43BDB7AB652CD3ED0C61;493.261;AC;Acrelândia;0.4933;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-247E79EA89944074AA46B13632A284BF;846.257;AC;Acrelândia;0.8463;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-07543294AE04474A946D75E08C5DA0DE;1.189.373;AC;Acrelândia;11.894;IRU;PE;Aguardando analise
 AC-1200013-D233DECAA2234757AB3902EAFB3E4E60;652.937;AC;Acrelândia;0.6529;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-1FE6DCAC956148B4B462186CD8A505FD;252.611;AC;Acrelândia;0.2526;IRU;PE;Analisado com pendências, aguardando retificação
 AC-1200013-EA7D35F30F944837B7A26D74BA5667EC;741.135;AC;Acrelândia;0.7411;IRU;AT;Aguardando analise
 AC-1200013-FB823251D8FA49C29ACDECEBD9F64BEF;651.347;AC;Acrelândia;0.6513;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-5A15EA5D0310481FB35EA01CBFCA57D8;951.701;AC;Acrelândia;0.9517;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 AC-1200013-67D89740B50B4B0B91F5E2558D0637C4;404.826;AC;Acrelândia;0.4048;IRU;AT;Aguardando analise
 AC-1200013-F73D775D520D4126981357B5EB66C161;566.189;AC;Acrelândia;0.5662;IRU;AT;Aguardando analise
 AC-1200013-60D57F54DB2B4162B70F86E51AF68E7F;535.392;AC;Acrelândia;0.5354;IRU;AT;Aguardando analise
 AC-1200013-55B9321CB890432396901C74679FDF3B;403.521;AC;Acrelândia;0.4035;IRU;AT;Aguardando analise
 AC-1200013-0CEA47259412479F944FE2205971F3A8;990.857;AC;Acrelândia;0.9909;IRU;AT;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-BF5F66084731402E839669798CD287E7;342.375;AC;Acrelândia;0.3424;IRU;AT;Em análise
 AC-1200013-502BFD613B7744FEB88C6E0971AAD349;195.826;AC;Acrelândia;0.1958;IRU;AT;Aguardando analise
 AC-1200013-3CFE7337252C4CCAAA4569DF4022DDED;742.075;AC;Acrelândia;0.7421;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-A69F40A0964E4670BEF4CE357293B6EC;687.649;AC;Acrelândia;0.6876;IRU;PE;Analisado com pendências, aguardando apresentação de documentos
 AC-1200013-F1C16672D6A04DC2ADDB4FCD8A83699A;668.647;AC;Acrelândia;0.6686;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-2368AD21732E4DC7A6239C6631184712;81.334;AC;Acrelândia;0.0813;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-493791A6FF464DD98703C79B8F74E9A3;74.167;AC;Acrelândia;0.0742;IRU;PE;Analisado com pendências, aguardando retificação
 AC-1200013-A4214FF776324061973122C28155FF71;557.671;AC;Acrelândia;0.5577;IRU;AT;Aguardando analise
 AC-1200013-B9988A8CBFE64A3AA11B78A7AF5ACC5A;487.603;AC;Acrelândia;0.4876;IRU;AT;Em análise
