"","Sigla","name","State","region","bioma","y","x","source_of_","coords.x1","coords.x2","encoding"
"2645","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2646","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2647","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2648","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2649","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2650","PA-SA-5","Porto da Mina","PA","Northern","Amazon_forest","-8.3362","-47.00774","estimated",-47.00774,-0.83362,"UTF-8"
"2651","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2652","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2653","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2654","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2655","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2656","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2657","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2658","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2659","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2660","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2661","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2662","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2663","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2664","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2665","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2666","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2667","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2668","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2669","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2670","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2671","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2672","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2673","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2674","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2675","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2676","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2677","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2678","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2679","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2680","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2681","PA-ST-42","Porto","PA","Northern","Amazon_forest","-2.4202","-54.7409","literature",-54.7409,-2.4202,"UTF-8"
"2682",na,"Porto Viera 1","SC","Southern","coastal/marine","-28.583105","-49.00133967","literature",-49.00133967,-28.583105,"UTF-8"
"2683",na,"PR-FO-49","PR","Southern","Atlantic_Forest","-24.087332","-54.278426","literature",-54.278426,-24.087332,"UTF-8"
"2684","MG-GV-39","Primavera","MG","Southeastern",na,"-21.083333","-45.841667","literature",-45.841667,-21.083333,"UTF-8"
"2685",na,"Praia das Laranjeiras I","SC","Southern","coastal/marine","-26.996715","-48.593737","field",-48.593737,-26.996715,"UTF-8"
"2686",na,"Praia das Laranjeiras II","SC","Southern","coastal/marine","-26.997168","-48.589277","field",-48.589277,-26.997168,"UTF-8"
"2687",na,"Praia das Laranjeiras II","SC","Southern","coastal/marine","-26.997168","-48.589277","field",-48.589277,-26.997168,"UTF-8"
"2688",na,"Praia das Laranjeiras II","SC","Southern","coastal/marine","-26.997168","-48.589277","field",-48.589277,-26.997168,"UTF-8"
"2689",na,"Praia das Laranjeiras II","SC","Southern","coastal/marine","-26.997168","-48.589277","field",-48.589277,-26.997168,"UTF-8"
"2690","GB-06","Praia do Engenho velho","MA","Northeastern","Amazon_forest","-2.8","-43.233333","literature",-43.233333,-2.8,"UTF-8"
"2691",na,"Sambaqui Prainha II","SP","Southeastern","coastal/marine","-25.143056","-48.033688","estimated",-48.033688,-25.143056,"UTF-8"
"2692",na,"Sambaqui do Ramal","PR","Southern","coastal/marine","-25.529931","-48.627776","estimated",-48.627776,-25.529931,"UTF-8"
"2693",na,"Sambaqui do Ramal","PR","Southern","coastal/marine","-25.529931","-48.627776","estimated",-48.627776,-25.529931,"UTF-8"
"2694",na,"Ranchada","MA","Northern","Amazon_forest","-5.035605","-44.722304","estimated",-44.722304,-5.035605,"UTF-8"
"2695",na,"Remanso","MA","Northern","Amazon_forest","-4.944896","-44.81472","estimated",-44.81472,-4.944896,"UTF-8"
"2696",na,"Remanso","MA","Northern","Amazon_forest","-4.944896","-44.81472","estimated",-44.81472,-4.944896,"UTF-8"
"2697","MG-GV-19","Raposo","MG","Southeastern",na,"-21.166667","-45.25","literature",-45.25,-21.166667,"UTF-8"
"2698","MG-GV-19","Raposo","MG","Southeastern",na,"-21.166667","-45.25","literature",-45.25,-21.166667,"UTF-8"
"2699",na,"Sambaqui Ratones I","SC","Southern","Southern","-27.49102528","-48.46816789","field",-48.46816789,-27.49102528,"UTF-8"
"2700",na,"Ribeirao Pequeno","SC","Southern","Coastal/marine","-28.513319","-48.89167232","literature",-48.89167232,-28.513319,"UTF-8"
"2701",na,"Rio Baia 1","MS",na,na,"-22.69417424","-53.26139823","literature",-53.26139823,-22.69417424,"UTF-8"
"2702",na,"Sambaqui Rio Branco","SP","Southeastern","Coastal/marine","-24.0675","-46.8","literature",-46.8,-24.0675,"UTF-8"
"2703",na,"Rio Caipora","SC","Southern","Coastal/marine","-28.559512","-49.0988309","literature",-49.0988309,-28.559512,"UTF-8"
"2704",na,"Rio Caipora","SC","Southern","Coastal/marine","-28.559512","-49.0988309","literature",-49.0988309,-28.559512,"UTF-8"
"2705",na,"Sambaqui Rio Comprido","SP","Southeastern","Coastal/marine","-24.452222","-47.217778","literature",-47.217778,-24.452222,"UTF-8"
"2706",na,"Sambaqui Rio Comprido II","SC","Southern","Coastal/marine","-26.27617809","-48.80717366","literature",-48.80717366,-26.27617809,"UTF-8"
"2707",na,"Sambaqui Rio Comprido II","SC","Southern","Coastal/marine","-26.27617809","-48.80717366","literature",-48.80717366,-26.27617809,"UTF-8"
"2708",na,"Sambaqui Rio Comprido II","SC","Southern","Coastal/marine","-26.27617809","-48.80717366","literature",-48.80717366,-26.27617809,"UTF-8"
"2709",na,"Sambaqui Rio Comprido I","SC","Southern","Coastal/marine","-26.27617809","-48.80717366","literature",-48.80717366,-26.27617809,"UTF-8"
"2710",na,"Sambaqui Rio Comprido I","SC","Southern","Coastal/marine","-26.27617809","-48.80717366","literature",-48.80717366,-26.27617809,"UTF-8"
"2711",na,"Sambaqui Rio da Roca-I","SP","Southeastern","Coastal/marine","-25.062902","-48.056727","Estimated",-48.056727,-25.062902,"UTF-8"
"2712",na,"Sambaqui Rio das Pedras III","SP","Southeastern","Coastal/marine","-24.468611","-47.967222","literature",-47.967222,-24.468611,"UTF-8"
"2713",na,"Sambaqui Rio das Pedras III","SP","Southeastern","Coastal/marine","-24.468611","-47.967222","literature",-47.967222,-24.468611,"UTF-8"
"2714",na,"Sambaqui Rio das Pedras I","SP","Southeastern","Coastal/marine","-24.468333","-47.385","literature",-47.385,-24.468333,"UTF-8"
"2715",na,"Sambaqui Rio das Pedrinhas","RJ","Southeastern","Coastal/marine","-22.630991","-42.943469","literature",-42.943469,-22.630991,"UTF-8"
"2716","FLN-57","Rio do Meio","SC","southern","Coastal/marine","-27.43778908","-48.49655812","field",-48.49655812,-27.43778908,"UTF-8"
"2717","FLN-57","Rio do Meio","SC","southern","Coastal/marine","-27.43778908","-48.49655812","field",-48.49655812,-27.43778908,"UTF-8"
"2718","FLN-57","Rio do Meio","SC","southern","Coastal/marine","-27.43778908","-48.49655812","field",-48.49655812,-27.43778908,"UTF-8"
"2719","FLN-57","Rio do Meio","SC","southern","Coastal/marine","-27.43778908","-48.49655812","field",-48.49655812,-27.43778908,"UTF-8"
"2720","OSO-1","Rio Grande do Sul (OSO-1)","RS","Southern","Atlantic_Forest","-29.616667","-50.2875","literature",-50.2875,-29.616667,"UTF-8"
"2721","OSO-2","Rio Grande do Sul (OSO-1)","RS","Southern","Atlantic_Forest","-29.616667","-50.2875","literature",-50.2875,-29.616667,"UTF-8"
"2722","OSO-3","Rio Grande do Sul (OSO-1)","RS","Southern","Atlantic_Forest","-29.616667","-50.2875","literature",-50.2875,-29.616667,"UTF-8"
"2723","PR-UV-4","RIo Iguacu","PR","Southern","Atlantic_Forest","-26.228864","-51.012649","literature",-51.012649,-26.228864,"UTF-8"
"2724","PR-UV-3","PR-UV-3","PR","Southern","Atlantic_Forest","-26.228864","-51.012649","literature",-51.012649,-26.228864,"UTF-8"
"2725","PR-UV-11","Cemiterio Zampieron","PR","Southern","Atlantic_Forest","-26","-51.5","literature",-51.5,-26,"UTF-8"
"2726","PR-UV-12","Habitação Zampieron 1","PR","Southern","Atlantic_Forest","-26.228864","-51.012649","literature",-51.012649,-26.228864,"UTF-8"
"2727","PR-UV-12","Habitação Zampieron 1","PR","Southern","Atlantic_Forest","-26.228864","-51.012649","literature",-51.012649,-26.228864,"UTF-8"
"2728","PR-UV-12","Habitação Zampieron 1","PR","Southern","Atlantic_Forest","-26.228864","-51.012649","literature",-51.012649,-26.228864,"UTF-8"
"2729","PR-UV-16","Elevatorio de Agua","PR","Southern","Atlantic_Forest","-26.166667","-51","literature",-51,-26.166667,"UTF-8"
"2730","PR-UV-17","Abrigo Bruacas","PR","Southern","Atlantic_Forest","-26.091","-51.1482","literature",-51.1482,-26.091,"UTF-8"
"2731","PR-FL-21","Restaurante Ivai 2","PR","Southern","Atlantic_Forest","-23.5","-52.333333","literature",-52.333333,-23.5,"UTF-8"
