Nome,X,Y,Estado,Municipio
SC-VU-7,"-53.1196","-26.99894",,
Campo de Futebol,"-53.11842","-24.4832",,
Lurdes Cixeski,"-53.11826","-25.58335",,
SC-VU-5,"-53.11641","-27.00557",,
SC-VU-4,"-53.11477","-27.02739",,
SC-VU-6,"-53.11453","-27.0008",,
SC-VU-3,"-53.10692","-27.01411",,
SC-VU-2,"-53.10614","-27.01721",,
Balsa do Encantado,"-53.10406","-25.54519",,
SC-VU-1,"-53.1031","-27.02051",,
Boca do Encado I,"-53.10167","-25.53936",,
Ahy 1,"-53.10029","-24.63324",,
SC-VX-2,"-53.09935","-27.03533",,
Porteira Ponte CaaÉa≠da,"-53.0978","-25.53463",,
FlogaÉa™ncio,"-53.09303","-25.56363",,
Sabino Mondardo I,"-53.08343","-25.56625",,
Saturnino,"-53.07563","-25.5298",,
Miguel Micolazik I,"-53.0754","-25.56799",,
Miguel Micolazik II,"-53.07531","-25.56898",,
Tourinho,"-53.01202","-24.71178",,
PR UB 05,"-52.98931","-24.5491",,
Sinop I,"-52.97985","-24.52942",,
CondomaÉa≠nio UHE Salto Osorio 2,"-52.96726","-25.58392",,
CondomaÉa≠nio UHE Salto Osorio 3,"-52.96618","-25.58751",,
Laranjeira CondomaÉa≠nio 1,"-52.94877","-25.56153",,
Constantino 1,"-52.90733","-25.58639",,
Constantino 2,"-52.90243","-25.5819",,
Rio Erveira,"-52.89872","-24.56573",,
UHE Salto Osorio 1,"-52.89344","-25.58771",,
Jose Vieira,"-52.89077","-23.2742",,
PR RO 07,"-52.86435","-24.68708",,
UHE Salto Osorio 3,"-52.86106","-25.61556",,
Morro Vermelho I,"-52.86039","-24.67059",,
Morro Vermelho II,"-52.85193","-24.67135",,
Afluente do Erveira,"-52.84741","-24.56559",,
UHE Salto Osorio 4,"-52.84681","-25.60737",,
Roseira II,"-52.84367","-24.66198",,
Moch I,"-52.83388","-24.62871",,
Roseira I,"-52.83353","-24.65709",,
Moch II,"-52.8263","-24.63194",,
TraÉa™s buracos,"-52.8243","-24.61782",,
Moch III,"-52.82208","-24.62407",,
Aeroporto,"-52.81185","-24.593",,
RS-RP-133,"-52.69098","-29.47608",,
RS-RP-134,"-52.69087","-29.29721",,
RS-RP-141,"-52.68852","-29.50816",,
RS-RP-138,"-52.68663","-29.44373",,
RS-RP-129,"-52.67563","-29.30347",,
RS-RP-143,"-52.67323","-29.5605",,
RS-RP-103,"-52.67321","-29.5751",,
RS-RP-135,"-52.66934","-29.29028",,
RS-RP-164,"-52.66577","-29.43987",,
RS-RP-107,"-52.66314","-29.30658",,
RS-RP-132,"-52.65965","-29.50884",,
RS-RP-139,"-52.65788","-29.46592",,
RS-RP-14,"-52.65695","-29.29251",,
RS-RP-33,"-52.65214","-29.52699",,
RS-RP-149,"-52.64969","-29.56708",,
RS-RP-98,"-52.64883","-29.54734",,
RS-RP-106,"-52.64797","-29.31571",,
RS-RP-137,"-52.63498","-29.4791",,
RS-RP-128,"-52.61705","-29.54932",,
RS-RP-97,"-52.61674","-29.51499",,
Barragem Santiago1,"-52.61629","-25.60016",,
RS-RP-136,"-52.61575","-29.53361",,
RS-RP-102,"-52.61381","-29.5711",,
PR AS 03,"-52.61356","-25.61217",,
Barragem Santiago 2,"-52.60857","-25.60224",,
RS-RP-81,"-52.59705","-29.53531",,
Rio Barra Mansa 1,"-52.59619","-25.60184",,
Santa Rosa,"-52.59614","-25.55918",,
RS-RP-131,"-52.59568","-29.501",,
Rio Barra Mansa 2,"-52.59407","-25.59572",,
Rio Barra Mansa 3,"-52.59334","-25.59174",,
RS-RP-55,"-52.59072","-29.51862",,
UHE Salto Santiago 1,"-52.58579","-25.60888",,
UHE Salto Santiago 2,"-52.58487","-25.56596",,
Vau 1,"-52.57629","-25.54068",,
RS-RP-71,"-52.57328","-29.50592",,
UHE Salto Santiago 3,"-52.56987","-25.68096",,
Praia Ilha CondomaÉa≠nio Salto Santiago,"-52.56321","-25.55582",,
Quebra-Queixo,"-52.5562","-26.66043",,
Quebra-Queixo,"-52.55503","-26.65727",,
Quebra-Queixo,"-52.55177","-26.66958",,
Quebra-Queixo,"-52.54939","-26.66043",,
Quebra-Queixo,"-52.54851","-26.67024",,
Quebra-Queixo,"-52.54847","-26.66742",,
Quebra-Queixo,"-52.54757","-26.62355",,
Quebra-Queixo,"-52.54666","-26.6721",,
Quebra-Queixo,"-52.54247","-26.67247",,
Quebra-Queixo,"-52.54231","-26.66208",,
Quebra-Queixo,"-52.54168","-26.67513",,
Quebra-Queixo,"-52.54051","-26.6489",,
Quebra-Queixo,"-52.53959","-26.67266",,
Quebra-Queixo,"-52.53918","-26.66206",,
Quebra-Queixo,"-52.53893","-26.66977",,
Quebra-Queixo,"-52.53776","-26.6319",,
Quebra-Queixo,"-52.53671","-26.65553",,
Quebra-Queixo,"-52.53617","-26.61995",,
Quebra-Queixo,"-52.53284","-26.62891",,
Quebra-Queixo,"-52.53064","-26.66879",,
Quebra-Queixo,"-52.53035","-26.64509",,
Quebra-Queixo,"-52.52955","-26.61905",,
Quebra-Queixo,"-52.52873","-26.64203",,
Quebra-Queixo,"-52.52845","-26.66564",,
Quebra-Queixo,"-52.52769","-26.66073",,
Ciro Carletto,"-52.524","-26.18208",,
Rio Crim 1,"-52.52293","-25.64069",,
Quebra-Queixo,"-52.52205","-26.65983",,
Augusto Pinheiro,"-52.5188","-26.16679",,
Norberto Pillati,"-52.51862","-26.15325",,
Rio Crim 3,"-52.5142","-25.63776",,
Baneiras Salto Santiago 1,"-52.5051","-25.66974",,
Pedro InocaÉa™ncio,"-52.49993","-26.17782",,
RS-RP-144,"-52.49506","-29.7065",,
SaÉa≠tio 06,"-52.49307","-26.26461",,
Lajeado da Erva 1,"-52.47231","-25.66915",,
Lajeado da Erva 2,"-52.47034","-25.66794",,
Porto Santa 1,"-52.46907","-25.66636",,
Porto Santa 2,"-52.46754","-25.6649",,
Belarmino Jose dos Santos,"-52.45365","-26.19771",,
Rubens Daroit,"-52.44969","-26.24153",,
Antonio da Silva Godoy,"-52.44692","-26.21989",,
SaÉa≠tio 04,"-52.44633","-26.36971",,
Bento Rosa,"-52.44421","-26.24339",,
Ilha Grande,"-52.4361","-25.67317",,
Rio Iguacu 1,"-52.42697","-25.68044",,
Rio Iguacu 2,"-52.42249","-25.68407",,
Corrego Barra Grande 2,"-52.41643","-25.63036",,
Rio Iguacu 4,"-52.41387","-25.68224",,
Rio Cavernoso 1,"-52.41311","-25.66137",,
Santa Cruz,"-52.4121","-25.64614",,
RS-RP-24,"-52.40851","-29.5725",,
Corrego Barra Grande 1,"-52.40847","-25.63668",,
Rio Cavernoso 3,"-52.4037","-25.68073",,
Rio Feio,"-52.39625","-25.63856",,
Rio Cavernoso 2,"-52.3934","-25.69372",,
LTSsantiagoIta,"-52.35325","-26.91067",,
RS-RP-150 A-B,"-52.35319","-29.63244",,
Tradicao Taquara,"-52.32443","-27.56593",,
Rio Luciano 1,"-52.31841","-25.72036",,
Rio Luciano 2,"-52.3064","-25.70786",,
Tradicao Taquara,"-52.30059","-27.5982",,
UHE Salto Santiago 6,"-52.25508","-25.73487",,
Rio Palmeirinha 1,"-52.24486","-25.74543",,
Porto Santa Maria,"-52.2384","-25.7421",,
Ponte Nova,"-52.23112","-25.7378",,
Corredeira Grande - 1,"-52.2228","-25.7502",,
Lajeado grande dos aÉaçndios,"-52.21719","-25.75853",,
Estrada,"-52.21216","-24.69377",,
Belao,"-52.21128","-25.91151",,
Rio Portao 1,"-52.17817","-25.86423",,
Porto Fanol,"-52.17605","-25.74733",,
Rio Portao 2,"-52.17574","-25.86727",,
Fonte do Encantilado,"-52.17182","-25.84202",,
Cachoeira,"-52.17137","-25.82441",,
Campi Bela 2,"-52.17025","-25.87524",,
Ninhal Garcas 1,"-52.16962","-25.74531",,
SaÉa≠tio Rio Vila Nova 1,"-52.16719","-25.87932",,
(SaÉa≠tio) das Palmeiras,"-52.16663","-25.83098",,
(SaÉa≠tio) Santo Antao 1,"-52.16663","-25.83098",,
(SaÉa≠tio Antao 2) Santo Antao 2,"-52.16663","-25.83098",,
Corredeira,"-52.15749","-25.81459",,
SaÉa≠tio LaÉa≠tico Valdir Pircinis,"-52.15609","-24.58342",,
Ilha Grande,"-52.14966","-25.87587",,
RS-T-100,"-52.14908","-28.89108",,
Tradicao Taquara,"-52.1422","-27.58537",,
do Monolito,"-52.1387","-25.78916",,
da Barragem,"-52.13153","-25.78803",,
(SaÉa≠tio) Coral,"-52.11548","-25.77663",,
(SaÉa≠tio) Arroio da Divisa,"-52.11303","-25.79945",,
SaÉa≠tio do Deposito,"-52.10815","-25.78502",,
Barra do Rio Butia 2,"-52.09568","-25.93229",,
do Mate,"-52.08949","-25.75726",,
SaÉa≠tio Barra do Butia 3,"-52.08495","-25.94601",,
Barra do rio Estreito,"-52.08491","-25.75961",,
SaÉa≠tio da Fogueira,"-52.07592","-25.94462",,
Tradicao Taquara,"-52.07334","-27.94542",,
(Passo do Aterrado) Corrego do Passo do Aterrado,"-52.07204","-25.75114",,
(SaÉa≠tio) Arroio Feio 2,"-52.04961","-25.93494",,
(SaÉa≠tio) Arroio Feio 5,"-52.04393","-25.93622",,
Canteiro UHE Fundao 2,"-52.04001","-25.71057",,
Canteiro UHE Fundao 3,"-52.03956","-25.71499",,
Casa Forca Fundao 3,"-52.03762","-25.7207",,
SaÉa≠tio Fazenda Don Jose,"-52.03595","-25.95348",,
(SaÉa≠tio) Sete Ilhas,"-52.03595","-25.95348",,
Arroio Feio 3,"-52.03435","-25.94222",,
(SaÉa≠tio) Arroio Feio 4,"-52.03435","-25.94222",,
Casa Forca Fundao 1,"-52.03337","-25.71487",,
Casa Forca Fundao 8,"-52.03282","-25.7208",,
Casa Forca Fundao 4,"-52.03268","-25.71835",,
Canteiro UHE Fundao 1,"-52.03153","-25.71736",,
Vaca Branca II,"-52.02518","-25.7197",,
Vaca Branca  I,"-52.02421","-25.72287",,
Campo Bonito (1) I,"-52.02218","-25.71882",,
SaÉa≠tio LaÉa≠tico Santa Rita,"-52.01636","-24.78114",,
Fazenda Santa Maria,"-52.01028","-26.51533",,
Eixo Barragem UHE Fundao 7,"-52.00872","-25.70663",,
Eixo Barragem UHE Fundao 1,"-52.00854","-25.71063",,
Eixo Barragem UHE Fundao 5,"-52.00802","-25.70587",,
Eixo Barragem UHE Fundao 2,"-52.00678","-25.71004",,
Campo Bonito (2) II,"-52.00677","-25.72254",,
Boa Vista II,"-52.00669","-25.71396",,
Eixo Barragem UHE Fundao 4,"-52.00634","-25.70583",,
Eixo Barragem UHE Fundao 6,"-52.00589","-25.71313",,
Boa Vista I,"-52.00475","-25.71939",,
Almoxarifado UHE Fundao 1,"-52.00311","-25.70106",,
Almoxarifado UHE Fundao 2,"-52.00201","-25.69999",,
TaÉa∫nel UHE Fundao 2,"-52.00061","-25.69753",,
Campo Bonito (4) IV,"-51.9998","-25.72349",,
Boa Vista III,"-51.99978","-25.72123",,
Eixo Barragem UHE Fundao 3,"-51.99852","-25.70947",,
Joao Maria Serpa 1,"-51.99771","-25.69863",,
Boa Vista VII,"-51.99723","-25.71403",,
Boa Vista VI,"-51.99722","-25.71312",,
Corrego da Divisa,"-51.9966","-26.5451",,
Joao Maria Serpa 2,"-51.99598","-25.69841",,
Boa Vista V,"-51.99573","-25.71404",,
Edgard Rickli 2,"-51.99097","-25.6833",,
Edgard Rickli 1,"-51.99076","-25.68408",,
Boa Vista IV,"-51.99028","-25.71814",,
Oscar Rickli 1,"-51.98838","-25.67833",,
Corredeira Paulo Nunes 1,"-51.98814","-25.69944",,
Wilson Rickli 1,"-51.98355","-25.70015",,
Wilson Rickli 2,"-51.97855","-25.69701",,
Casa de Forca UHE Santa Clara,"-51.96612","-25.66696",,
Eixo UHE Santa Clara 3,"-51.96233","-25.64964",,
Eixo UHE Santa Clara 2,"-51.96023","-25.6487",,
(SaÉa≠tio) do Pendente,"-51.95888","-25.98344",,
Tradicao Taquara,"-51.95859","-27.95297",,
Ensecadeira UHE Santa Clara 2,"-51.95583","-25.65214",,
Eixo UHE Santa Clara 1,"-51.95569","-25.64757",,
Canteiro UHE Santa Clara 1,"-51.95536","-25.65708",,
Canteiro UHE Santa Clara 2,"-51.95489","-25.65629",,
Ensecadeira UHE Santa Clara 1,"-51.9539","-25.65184",,
Candoi Ferreira 1,"-51.93093","-25.61746",,
Batatal Tupi 1,"-51.93088","-25.64698",,
Caracu Santa Clara 1,"-51.92771","-25.6239",,
Batatal Tupi 2,"-51.92509","-25.64194",,
Papel Santa Clara 2,"-51.91434","-25.6122",,
Caracu Casa de Forca,"-51.91409","-25.61369",,
Fazenda Novo Rodeio 2,"-51.9135","-25.65632",,
(Fazenda) Novo Rodeio 1,"-51.9051","-25.65819",,
Fazenda Postinho 3,"-51.90387","-25.66174",,
Fazenda Postinho 2,"-51.9034","-25.66378",,
Fazenda Postinho 1,"-51.90307","-25.66482",,
Fazenda Postinho 4,"-51.90142","-25.66495",,
Fazenda Postinho 5,"-51.89978","-25.66457",,
Fazenda Visconde 7,"-51.8948","-25.64227",,
(Fazenda) Visconde 4,"-51.89302","-25.64111",,
Fazenda Visconde 10,"-51.88785","-25.64513",,
Fazenda Visconde (3) III,"-51.88562","-25.65019",,
Fazenda Visconde 8,"-51.88363","-25.64695",,
Fazenda Visconde (2) II,"-51.8811","-25.6457",,
SaÉa≠tio de Estruturas Subterraneas Torre 63,"-51.88089","-24.62208",,
Fazenda Visconde 9,"-51.88006","-25.6362",,
(Fazenda) Visconde 1,"-51.87903","-25.63533",,
Dirceu Lacerda 3,"-51.84541","-25.63391",,
Dirceu Lacerda 1,"-51.84044","-25.63617",,
Procopio Caldas 5,"-51.83708","-25.61882",,
Procopio Caldas 4,"-51.83694","-25.62061",,
Fil Reservatorio UHE Santa Clara 1,"-51.83671","-25.61571",,
Papel Santa Clara 1,"-51.83667","-25.61477",,
Procopio Caldas 1,"-51.83667","-25.61477",,
Procopio Caldas 3,"-51.83667","-25.61477",,
Tradicao Taquara,"-51.81266","-27.69384",,
Mandirituba 01,"-51.76728","-23.57486",,
dos Pinus,"-51.7226","-25.95609",,
Tradicao Taquara,"-51.70921","-27.56912",,
SaÉa≠tio da Sanga,"-51.70534","-25.91963",,
Tradicao Taquara,"-51.69808","-27.584",,
Tradicao Taquara,"-51.68316","-27.56981",,
Tradicao Taquara,"-51.67962","-27.58725",,
Cemiterio Zampieron,"-51.6307","-26.10975",,
Rio Claro,"-51.61778","-24.38275",,
Rio Jacutinga-2,"-51.61691","-26.01302",,
Habitacao Zampieron 3,"-51.60764","-26.09326",,
Habitacao Zampieron 1,"-51.60383","-26.09667",,
Habitacao Zampieron 2,"-51.6003","-26.09788",,
Vila Santa Terezinha-1,"-51.57807","-26.04478",,
Rio Azul-2,"-51.57094","-24.35427",,
Linha vegantes-1,"-51.56594","-26.04604",,
agua do Prata,"-51.56507","-26.00646",,
Nova Itacolomi,"-51.55914","-23.76948",,
Linha vegantes-2,"-51.55819","-26.07628",,
Rio Azul-1,"-51.54698","-24.33475",,
Joao Maciano da Silva,"-51.54293","-23.83299",,
Corrego agua do Escovao,"-51.52933","-24.32559",,
(Fazenda) Santa Luzia,"-51.52815","-22.69115",,
Barra do Ribeirao do Tenente 2,"-51.52231","-22.69228",,
Corrego Feliz,"-51.51984","-24.3167",,
Formoso,"-51.51442","-24.31135",,
Rio Jararaca,"-51.51418","-26.06798",,
Corrego agua do Macaco 3,"-51.51031","-24.30556",,
Ribeirao do Tenente 2,"-51.50861","-22.69669",,
Corrego agua do Macaco 2,"-51.50764","-24.30556",,
Corrego agua do Macaco 1,"-51.50515","-24.30588",,
Nova Itacolomi,"-51.4881","-23.82114",,
Residencial Interlagos 2,"-51.4842","-23.57575",,
bor - 1,"-51.4476","-24.26418",,
bor - 2,"-51.4442","-24.26505",,
Corrego da Maca,"-51.44011","-24.25701",,
Corrego Feio - 1,"-51.43823","-24.25715",,
Corrego Feio - 3,"-51.43527","-24.2557",,
Corrego da Cobra,"-51.42897","-24.2592",,
Corrego Feio - 2,"-51.42773","-24.25467",,
agua da Consulta - 3,"-51.4265","-24.253",,
agua da Consulta - 2,"-51.42491","-24.25188",,
agua da Consulta - 1,"-51.40966","-24.24977",,
Corrego Sao Sebastiao - 2,"-51.40943","-24.24586",,
Corrego Sao Sebastiao - 3,"-51.40808","-24.24603",,
PCH ConfluaÉa™ncia 6,"-51.40714","-24.92938",,
Corrego Sao Sebastiao - 4,"-51.40428","-24.24419",,
Jose Bonetti 2,"-51.40218","-24.95035",,
PCH ConfluaÉa™ncia 5,"-51.39668","-24.8978",,
PCH ConfluaÉa™ncia 2,"-51.39619","-24.89597",,
PCH ConfluaÉa™ncia 4,"-51.39463","-24.90421",,
PCH ConfluaÉa™ncia 1,"-51.39321","-24.90016",,
Corrego do Salto 2,"-51.39167","-22.66777",,
PCH ConfluaÉa™ncia 3,"-51.39166","-24.89214",,
Rio Branco - 1,"-51.38964","-24.23911",,
Casa Subterranea Bela Vista,"-51.38715","-24.00359",,
Fazenda Ribeirao Bonito - 1,"-51.37778","-24.234",,
Wur,"-51.3757","-26.05607",,
Linha Iguacu,"-51.3559","-26.0298",,
SC-CN-10,"-51.33524","-27.59085",,
SC-CN-02,"-51.32934","-27.59169",,
SC-CR-03,"-51.32498","-27.60791",,
SC-CN-01,"-51.31782","-27.587",,
SC-CN-03,"-51.31691","-27.5897",,
SC-CN-09,"-51.31611","-27.59338",,
Anel (Ribeiro),"-51.31443","-27.76982",,
Estirao Comprido,"-51.30608","-24.76736",,
Sao Vicente,"-51.28176","-26.14692",,
Casas,"-51.27855","-27.79096",,
RS-C-14,"-51.27816","-29.62947",,
S18,"-51.26986","-28.02582",,
S17,"-51.26823","-27.99287",,
Rio Alonso,"-51.26798","-24.20597",,
S20,"-51.26705","-27.95514",,
PR UV 38,"-51.26602","-26.131",,
S24,"-51.26478","-27.9939",,
S23,"-51.26452","-27.9681",,
ceramica,"-51.26131","-28.01184",,
S16,"-51.25973","-28.01184",,
Prainha,"-51.25819","-26.1289",,
Corinta,"-51.25772","-27.96817",,
S3,"-51.25743","-28.02098",,
Corinta2,"-51.25617","-27.96745",,
S15,"-51.25603","-28.0169",,
Darci,"-51.25541","-28.00878",,
S8,"-51.25513","-28.00784",,
Casas (Bittencourt),"-51.25331","-28.00726",,
S7,"-51.25196","-28.01351",,
S10 Irineu,"-51.25082","-27.9971",,
SC-CN-07,"-51.25028","-27.60012",,
SC-CN-06,"-51.24962","-27.59957",,
S11,"-51.24912","-28.01144",,
S6,"-51.24698","-28.0154",,
S2,"-51.24606","-28.02795",,
S5,"-51.23772","-28.02887",,
S21,"-51.23511","-28.01739",,
S22,"-51.23353","-28.01389",,
S4,"-51.23321","-28.03232",,
SC-CR-10,"-51.23016","-27.65058",,
Material,"-51.22523","-27.88365",,
casas,"-51.22487","-27.87544",,
Casa (Vargas),"-51.22293","-27.88558",,
SC-CR-05,"-51.22081","-27.63465",,
Casas,"-51.21565","-27.81672",,
S1,"-51.21489","-28.06378",,
material,"-51.21403","-27.81648",,
P05,"-51.21068","-27.83936",,
SC-CR-04,"-51.2078","-27.64083",,
SC-CR-06,"-51.20577","-27.64253",,
SC-CN-05,"-51.20517","-27.60507",,
Celso Furtado,"-51.20464","-27.83174",,
S14,"-51.1952","-28.0478",,
Anel 3,"-51.19342","-27.82711",,
Anel 4,"-51.1934","-27.82644",,
Avelino 1,"-51.19301","-27.83167",,
SC-AG-47,"-51.19256","-27.61783",,
Avelino 4,"-51.19124","-27.82827",,
Anel 2,"-51.19107","-27.82765",,
Anel 1,"-51.19097","-27.83",,
milharal,"-51.19022","-27.8285",,
Leopoldo 4,"-51.19016","-27.82624",,
Leopoldo 3,"-51.18917","-27.82928",,
estr. circ.,"-51.1854","-27.83416",,
SC-AG-47,"-51.18368","-27.76888",,
Leopoldo 1,"-51.18361","-27.8284",,
SC-AG-40,"-51.18262","-27.76608",,
Guri 1,"-51.18233","-27.84553",,
Artino,"-51.1822","-27.8459",,
Guri 2,"-51.18216","-27.84625",,
Ortigueira 108,"-51.18106","-24.15541",,
Leopoldo 5,"-51.18093","-27.82167",,
SC-AG-100,"-51.17987","-27.76197",,
Leopoldo 7,"-51.17946","-27.82296",,
SC-AG-98,"-51.17919","-27.76108",,
SC-AG-105,"-51.17906","-27.76086",,
Orival,"-51.17825","-27.84302",,
SC-AG-95,"-51.17447","-27.76791",,
Ortigueira 109,"-51.17397","-24.1763",,
Pedreira,"-51.1726","-27.83991",,
Rancho Alegre 3,"-51.17212","-24.17828",,
Ari 3,"-51.17165","-27.84059",,
Rancho Alegre 1,"-51.17078","-24.18018",,
Ari 4,"-51.17072","-27.84109",,
Ari 2,"-51.16963","-27.84419",,
SC-AG-99,"-51.16933","-27.76088",,
Ari 1,"-51.16592","-27.84592",,
Gine,"-51.16494","-27.82863",,
Carneiro,"-51.16242","-27.82933",,
Casas,"-51.1624","-28.16932",,
Carneiro2,"-51.1602","-27.82792",,
estr. circ.,"-51.15847","-27.85201",,
SuperfaÉa≠cie,"-51.15809","-28.17323",,
estr. circ.,"-51.1575","-27.8553",,
Casa (Mate),"-51.15744","-27.90204",,
SC-AB-29,"-51.15517","-27.61657",,
Lajeado Seco,"-51.15516","-24.15671",,
RS-A-87,"-51.15417","-28.89566",,
SC-AB-31,"-51.15218","-27.61563",,
Joao Varella,"-51.15152","-27.85876",,
SC-AG-50,"-51.15027","-27.62934",,
casas,"-51.14987","-27.84897",,
SC-AB-99,"-51.14987","-27.61442",,
SC-AB-20,"-51.14886","-27.61068",,
Abrigo Bruacas,"-51.14816","-26.09098",,
casas,"-51.148","-27.84625",,
SC-AG-40,"-51.14788","-27.62455",,
P14,"-51.14722","-27.85809",,
SC-AB-34,"-51.14583","-27.60915",,
SC-AB-11,"-51.14513","-27.60288",,
SC-AB-14,"-51.1451","-27.6044",,
RS-107,"-51.14482","-29.17246",,
Casa sub (Alice Borges),"-51.14384","-27.88405",,
SC-AG-42,"-51.14349","-27.62361",,
SC-AB-08,"-51.14181","-27.60514",,
SC-AB-04,"-51.14124","-27.60009",,
SC-AB-07,"-51.14015","-27.60322",,
SC-AB-05,"-51.13987","-27.60013",,
Duarte 2,"-51.1381","-27.83834",,
Duarte,"-51.13756","-27.83361",,
SC-AG-110,"-51.13309","-27.73412",,
Ribeirao Sabugueiro 2,"-51.13197","-24.16968",,
SC-AB-42,"-51.13145","-27.61979",,
Ribeirao Sabugueiro 1,"-51.13024","-24.16896",,
RS-106,"-51.12918","-29.13324",,
RS-A-86,"-51.12828","-28.89344",,
SC-AG-111,"-51.12722","-27.75631",,
