"","nome_inicial","long_inicial","lat_incial","est_inicial","mun_inicial","cod_mun","nm_mun","estado","longitude","latitude","nome","pais","id","id_duplicado"
"217","Fazenda Timbutuva 1",-49.43522,-25.44914,NA,NA,"4104204","campo largo","pr",-49.43522,-25.44914,"fazendatimbutuva1","br","br_pr_fazendatimbutuva1_4104204",FALSE
"218","Chacara Capivara I",-49.43416,-25.25323,NA,NA,"4104253","campo magro","pr",-49.43416,-25.25323,"chacaracapivarai","br","br_pr_chacaracapivarai_4104253",FALSE
"219","Santo Anta�a�nio II",-49.43381,-24.94521,NA,NA,"4122206","rio branco do sul","pr",-49.43381,-24.94521,NA,"br","br_pr_NA_4122206",TRUE
"220","agua Limpa I",-49.43338,-24.94819,NA,NA,"4122206","rio branco do sul","pr",-49.43338,-24.94819,"agualimpai","br","br_pr_agualimpai_4122206",FALSE
"221","Ernesto Cropolato",-49.43229,-24.78362,NA,NA,"4105201","cerro azul","pr",-49.43229,-24.78362,"ernestocropolato","br","br_pr_ernestocropolato_4105201",FALSE
"222","agua Limpa III",-49.42916,-24.95284,NA,NA,"4122206","rio branco do sul","pr",-49.42916,-24.95284,"agualimpaiii","br","br_pr_agualimpaiii_4122206",FALSE
"223","Abrigo Tra�a�s Amigos I",-49.4284,-24.84087,NA,NA,"4105201","cerro azul","pr",-49.4284,-24.84087,NA,"br","br_pr_NA_4105201",TRUE
"224","Rossatto 05",-54.54911,-25.47537,NA,NA,"4108304","foz do iguaçu","pr",-54.54911,-25.47537,"rossatto05","br","br_pr_rossatto05_4108304",FALSE
"225","PR UB 05",-52.98931,-24.5491,NA,NA,"4128005","ubiratã","pr",-52.98931,-24.5491,"prub05","br","br_pr_prub05_4128005",FALSE
"226","Taquara I",-49.42668,-24.76961,NA,NA,"4105201","cerro azul","pr",-49.42668,-24.76961,"taquarai","br","br_pr_taquarai_4105201",FALSE
"227","Pouso Bonito I",-49.42595,-24.95614,NA,NA,"4122206","rio branco do sul","pr",-49.42595,-24.95614,"pousobonitoi","br","br_pr_pousobonitoi_4122206",FALSE
"228","Abrigo da Janela",-49.42561,-24.31352,NA,NA,"4126306","sengés","pr",-49.42561,-24.31352,"abrigodajanela","br","br_pr_abrigodajanela_4126306",FALSE
"229","Pouso Bonito II",-49.42343,-24.95937,NA,NA,"4122206","rio branco do sul","pr",-49.42343,-24.95937,"pousobonitoii","br","br_pr_pousobonitoii_4122206",FALSE
"230","Pouso Bonito III",-49.42048,-24.9578,NA,NA,"4122206","rio branco do sul","pr",-49.42048,-24.9578,"pousobonitoiii","br","br_pr_pousobonitoiii_4122206",FALSE
"231","Joao dos Santos 1",-49.41922,-24.73423,NA,NA,"4105201","cerro azul","pr",-49.41922,-24.73423,"joaodossantos1","br","br_pr_joaodossantos1_4105201",FALSE
"232","Fitz I",-49.4179,-24.72857,NA,NA,"4105201","cerro azul","pr",-49.4179,-24.72857,"fitzi","br","br_pr_fitzi_4105201",FALSE
"233","Fazenda Sao Vicente I",-49.41703,-25.01853,NA,NA,"4122206","rio branco do sul","pr",-49.41703,-25.01853,"fazendasaovicentei","br","br_pr_fazendasaovicentei_4122206",FALSE
"234","Retiro I",-49.41599,-25.01491,NA,NA,"4122206","rio branco do sul","pr",-49.41599,-25.01491,"retiroi","br","br_pr_retiroi_4122206",FALSE
"235","Pedro Machado de Bonfim I",-49.41392,-25.00234,NA,NA,"4122206","rio branco do sul","pr",-49.41392,-25.00234,"pedromachadodebonfimi","br","br_pr_pedromachadodebonfimi_4122206",FALSE
"236","Sinop I",-52.97985,-24.52942,NA,NA,"4128005","ubiratã","pr",-52.97985,-24.52942,"sinopi","br","br_pr_sinopi_4128005",FALSE
"237","Barra de Santa Rita I",-49.41195,-25.28121,NA,NA,"4104253","campo magro","pr",-49.41195,-25.28121,"barradesantaritai","br","br_pr_barradesantaritai_4104253",FALSE
"238","Josiel Bouard I",-49.4111,-24.71974,NA,NA,"4128633","doutor ulysses","pr",-49.4111,-24.71974,"josielbouardi","br","br_pr_josielbouardi_4128633",FALSE
"239","Barra do Teixeira I",-49.41107,-24.722,NA,NA,"4128633","doutor ulysses","pr",-49.41107,-24.722,"barradoteixeirai","br","br_pr_barradoteixeirai_4128633",FALSE
"240","Fazenda Bueno I",-49.41065,-24.99056,NA,NA,"4122206","rio branco do sul","pr",-49.41065,-24.99056,"fazendabuenoi","br","br_pr_fazendabuenoi_4122206",FALSE
"241","Fazenda Sao Joao I",-49.40737,-25.06095,NA,NA,"4122206","rio branco do sul","pr",-49.40737,-25.06095,"fazendasaojoaoi","br","br_pr_fazendasaojoaoi_4122206",FALSE
"242","Santilia Wagner",-49.3995,-27.69982,NA,NA,"4200705","alfredo wagner","sc",-49.3995,-27.69982,"santiliawagner","br","br_sc_santiliawagner_4200705",FALSE
"243","Juliano Wagner",-49.3961,-27.69969,NA,NA,"4200705","alfredo wagner","sc",-49.3961,-27.69969,"julianowagner","br","br_sc_julianowagner_4200705",FALSE
"244","George Wagner",-49.39488,-27.69925,NA,NA,"4200705","alfredo wagner","sc",-49.39488,-27.69925,"georgewagner","br","br_sc_georgewagner_4200705",FALSE
"245","Jaco Schuller",-49.39411,-27.74894,NA,NA,"4200705","alfredo wagner","sc",-49.39411,-27.74894,"jacoschuller","br","br_sc_jacoschuller_4200705",FALSE
"246","Escola Velho Cordeiro",-49.39292,-24.67661,NA,NA,"4128633","doutor ulysses","pr",-49.39292,-24.67661,"escolavelhocordeiro","br","br_pr_escolavelhocordeiro_4128633",FALSE
"247","Condoma�a�nio UHE Salto Osorio 2",-52.96726,-25.58392,NA,NA,"4125209","são jorge d'oeste","pr",-52.96726,-25.58392,NA,"br","br_pr_NA_4125209",FALSE
"248","Orival Althoff",-49.39256,-27.715,NA,NA,"4200705","alfredo wagner","sc",-49.39256,-27.715,"orivalalthoff","br","br_sc_orivalalthoff_4200705",FALSE
"249","Escola Nova Cordeiro",-49.39247,-24.673,NA,NA,"4128633","doutor ulysses","pr",-49.39247,-24.673,"escolanovacordeiro","br","br_pr_escolanovacordeiro_4128633",FALSE
"250","Antoninho Gamba",-49.39012,-27.72253,NA,NA,"4200705","alfredo wagner","sc",-49.39012,-27.72253,"antoninhogamba","br","br_sc_antoninhogamba_4200705",FALSE
"251","Jairo Wagner",-49.38988,-27.74639,NA,NA,"4200705","alfredo wagner","sc",-49.38988,-27.74639,"jairowagner","br","br_sc_jairowagner_4200705",FALSE
"252","Palmeira - 3",-49.38948,-25.47973,NA,NA,"4104204","campo largo","pr",-49.38948,-25.47973,"palmeira3","br","br_pr_palmeira3_4104204",FALSE
"253","Maria Andrade",-49.38903,-27.76009,NA,NA,"4200705","alfredo wagner","sc",-49.38903,-27.76009,"mariaandrade","br","br_sc_mariaandrade_4200705",FALSE
"254","Palmeira - 2",-49.38766,-25.47923,NA,NA,"4104204","campo largo","pr",-49.38766,-25.47923,"palmeira2","br","br_pr_palmeira2_4104204",FALSE
"255","PR CT 53",-49.38596,-25.47161,NA,NA,"4104204","campo largo","pr",-49.38596,-25.47161,"prct53","br","br_pr_prct53_4104204",FALSE
"256","Jose Wagner",-49.3854,-27.7482,"SC",NA,"4200705","alfredo wagner","sc",-49.3854,-27.7482,"josewagner","br","br_sc_josewagner_4200705",FALSE
"257","PR CT 52",-49.38499,-25.46955,NA,NA,"4104204","campo largo","pr",-49.38499,-25.46955,"prct52","br","br_pr_prct52_4104204",FALSE
"258","Condoma�a�nio UHE Salto Osorio 3",-52.96618,-25.58751,NA,NA,"4125209","são jorge d'oeste","pr",-52.96618,-25.58751,NA,"br","br_pr_NA_4125209",TRUE
"259","Altamir Desplanches",-49.38132,-24.7452,NA,NA,"4105201","cerro azul","pr",-49.38132,-24.7452,"altamirdesplanches","br","br_pr_altamirdesplanches_4105201",FALSE
"260","Hideraldo Ventura",-49.37693,-27.7054,NA,NA,"4200705","alfredo wagner","sc",-49.37693,-27.7054,"hideraldoventura","br","br_sc_hideraldoventura_4200705",FALSE
"261","Benedito Chini I",-49.37412,-27.76665,NA,NA,"4200705","alfredo wagner","sc",-49.37412,-27.76665,"beneditochinii","br","br_sc_beneditochinii_4200705",FALSE
"262","Fazenda Marrecas 8",-49.36434,-24.64856,NA,NA,"4128633","doutor ulysses","pr",-49.36434,-24.64856,"fazendamarrecas8","br","br_pr_fazendamarrecas8_4128633",FALSE
"263","fazenda Marrecas I",-49.35447,-24.64703,NA,NA,"4128633","doutor ulysses","pr",-49.35447,-24.64703,"fazendamarrecasi","br","br_pr_fazendamarrecasi_4128633",FALSE
"264","Pedro Amancio",-49.35124,-24.74809,NA,NA,"4128633","doutor ulysses","pr",-49.35124,-24.74809,"pedroamancio","br","br_pr_pedroamancio_4128633",FALSE
"265","Rio das Oncas 6",-49.34755,-25.72244,NA,NA,"4114302","mandirituba","pr",-49.34755,-25.72244,"riodasoncas6","br","br_pr_riodasoncas6_4114302",FALSE
"266","Rio das Oncas 5",-49.34734,-25.72343,NA,NA,"4114302","mandirituba","pr",-49.34734,-25.72343,"riodasoncas5","br","br_pr_riodasoncas5_4114302",FALSE
"267","Rio das Oncas 2",-49.34715,-25.7244,NA,NA,"4114302","mandirituba","pr",-49.34715,-25.7244,"riodasoncas2","br","br_pr_riodasoncas2_4114302",FALSE
"268","Fazenda Marrecas IV",-49.34686,-24.64758,NA,NA,"4128633","doutor ulysses","pr",-49.34686,-24.64758,"fazendamarrecasiv","br","br_pr_fazendamarrecasiv_4128633",FALSE
"269","Laranjeira Condoma�a�nio 1",-52.94877,-25.56153,NA,NA,"4125209","são jorge d'oeste","pr",-52.94877,-25.56153,NA,"br","br_pr_NA_4125209",TRUE
"270","Botiatuvinha",-49.34682,-25.38569,NA,NA,"4106902","curitiba","pr",-49.34682,-25.38569,"botiatuvinha","br","br_pr_botiatuvinha_4106902",FALSE
"271","Balcino Wagner",-49.3423,-27.69608,NA,NA,"4200705","alfredo wagner","sc",-49.3423,-27.69608,"balcinowagner","br","br_sc_balcinowagner_4200705",FALSE
