"","cod1","cod","nm_mun","estado","longitude","latitude","nome","pais","id","conferir","sigla","nome1","est1","regiao","bioma","x","y"
"2223","3","3520426","ilha comprida","sp",-47.731975,-24.840726,"sambaquipontagrossa","br","br_sp_sambaquipontagrossa_3520426",FALSE,"na","Sambaqui Ponta Grossa","SP","Southeastern","Coastal_marine",-24.840726,-47.731975
"2224","30","5000807","anaurilândia","ms",-52.8688,-22.3844,"lagaodocustodio1","br","br_ms_lagaodocustodio1_5000807",TRUE,"MS-IV-08","Lagao do  Custodio 1","MS","na","na",-22.3844,-52.8688
"2225","300","1504208","marabá","pa",-49.0426,-5.1732,"cavalobranco","br","br_pa_cavalobranco_1504208",FALSE,"na","Cavalo Branco","PA","Northern","Amazon_Forest",-5.1732,-49.0426
"2226","3000","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2227","3001","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2228","3002","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2229","3003","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2230","3004","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2231","3005","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2232","3006","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2233","3007","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2234","3008","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
