"","sobreposicao","quant","porc","porc0","porc3"
"192","tnhuspm",13,0.00126341282791637,0,0
"193","tnhasmf",3,0.000291556806442239,0,0
"194","asqmfpmg",18,0.00174934083865344,0,0
"195","asqmfp",405,0.0393601688697023,0,0.04
"196","asqp",57,0.00553957932240254,0,0.01
"197","qmg",33,0.00320712487086463,0,0
"198","qpmg",45,0.00437335209663359,0,0
"199","assdmfpg",18,0.00174934083865344,0,0
"200","thusmfg",6,0.000583113612884478,0,0
"201","thuspm",6,0.000583113612884478,0,0
"202","qmfpmg",21,0.00204089764509567,0,0
"203","asqmfpm",2,0.000194371204294826,0,0
"204","umfg",7,0.000680299215031891,0,0
"205","trusg",2,0.000194371204294826,0,0
"206","qmfpm",35,0.00340149607515946,0,0
"207","asmimf",1,9.71856021474131e-05,0,0
"208","asmim",1,9.71856021474131e-05,0,0
"209","trus",27,0.00262401125798015,0,0
"210","tiusg",9,0.000874670419326718,0,0
"211","pipm",3,0.000291556806442239,0,0
"212","usdg",5,0.000485928010737065,0,0
"213","aspimfp",10,0.000971856021474131,0,0
"214","aspimf",92,0.008941075397562,0,0.01
"215","qsdmfp",20,0.00194371204294826,0,0
"216","qsdmfpg",2,0.000194371204294826,0,0
"217","qsdpmg",1,9.71856021474131e-05,0,0
"218","qmfpg",35,0.00340149607515946,0,0
"219","pipmg",1,9.71856021474131e-05,0,0
"220","upi",1,9.71856021474131e-05,0,0
"221","usmfmg",71,0.00690017775246633,0,0.01
"222","asqusmfpm",51,0.00495646570951807,0,0
"223","qusmfpm",1,9.71856021474131e-05,0,0
"224","asqusmfpg",8,0.000777484817179305,0,0
"225","asquspm",5,0.000485928010737065,0,0
"226","quspm",5,0.000485928010737065,0,0
"227","asqusp",4,0.000388742408589652,0,0
"228","asqusmfp",1,9.71856021474131e-05,0,0
"229","thuspg",1,9.71856021474131e-05,0,0
"230","thusmg",1,9.71856021474131e-05,0,0
"231","qpip",19,0.00184652644080085,0,0
"232","thsdm",1,9.71856021474131e-05,0,0
"233","assdmfpm",2,0.000194371204294826,0,0
"234","assdmfm",12,0.00116622722576896,0,0
"235","tnhasuspg",75,0.00728892016105598,0,0.01
"236","uus",9,0.000874670419326718,0,0
"237","uasus",4,0.000388742408589652,0,0
"238","pimfmg",6,0.000583113612884478,0,0
"239","pimfpg",5,0.000485928010737065,0,0
"240","pimfpmg",2,0.000194371204294826,0,0
"241","mimg",1,9.71856021474131e-05,0,0
"242","assdg",4,0.000388742408589652,0,0
"243","assdpg",14,0.00136059843006378,0,0
"244","tnhasusmfg",98,0.00952418901044648,0,0.01
"245","tnhasusmfp",14,0.00136059843006378,0,0
"246","tnhasusmfpg",17,0.00165215523650602,0,0
"247","assdpm",11,0.00106904162362154,0,0
"248","qusmf",1,9.71856021474131e-05,0,0
"249","asqus",2,0.000194371204294826,0,0
"250","asqusmf",1,9.71856021474131e-05,0,0
"251","asqpm",1,9.71856021474131e-05,0,0
"252","asqpmg",4,0.000388742408589652,0,0
"253","aspimfm",27,0.00262401125798015,0,0
"254","aspipmg",2,0.000194371204294826,0,0
"255","asqusg",92,0.008941075397562,0,0.01
"256","qpig",3,0.000291556806442239,0,0
"257","asquspg",1,9.71856021474131e-05,0,0
"258","aspimg",1,9.71856021474131e-05,0,0
"259","qsdpm",2,0.000194371204294826,0,0
"260","qsdpg",3,0.000291556806442239,0,0
"261","thasusmfpg",1,9.71856021474131e-05,0,0
"262","usmfpmg",13,0.00126341282791637,0,0
"263","uaspg",7,0.000680299215031891,0,0
"264","uasmfpg",1,9.71856021474131e-05,0,0
"265","thasuspm",7,0.000680299215031891,0,0
"266","thasusmfp",15,0.0014577840322112,0,0
"267","uasusmf",46,0.004470537698781,0,0
"268","uasusg",122,0.0118566434619844,0,0.01
"269","uasusmfg",532,0.0517027403424237,0,0.05
"270","qsdmfg",6,0.000583113612884478,0,0
"271","uusg",3,0.000291556806442239,0,0
"272","uqmfg",2,0.000194371204294826,0,0
"273","usdp",1,9.71856021474131e-05,0,0
"274","usdmfp",1,9.71856021474131e-05,0,0
"275","thmf",4,0.000388742408589652,0,0
"276","tiasusg",1,9.71856021474131e-05,0,0
"277","tiusmg",1,9.71856021474131e-05,0,0
"278","upm",2,0.000194371204294826,0,0
"279","thsdp",2,0.000194371204294826,0,0
"280","thuus",8,0.000777484817179305,0,0
"281","thsdmf",2,0.000194371204294826,0,0
"282","aspi",4,0.000388742408589652,0,0
"283","tiusp",2,0.000194371204294826,0,0
"284","tius",2,0.000194371204294826,0,0
"285","tiusm",2,0.000194371204294826,0,0
"286","tnhpg",2,0.000194371204294826,0,0
"287","qmfmg",1,9.71856021474131e-05,0,0
"288","usdmf",3,0.000291556806442239,0,0
