"","uf","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"180","MA",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"tnhusmfg",32
"181","MA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"tnhusg",143
"182","MA",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"tnhasus",26
"183","MA",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"tnhasusg",47
"184","MA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"tnhuspg",2
"185","MA",0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"tnhasusmf",342
"186","MA",1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"thtnhasusmf",12
"187","MA",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"thtnhusmf",3
"188","MA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"thtnh",12
"189","MA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"tnhusmg",4
"190","MA",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"tnhusmfm",9
"191","MA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"tnhm",3
"192","MA",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"tnhuspm",13
"193","MA",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"tnhasmf",3
"194","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,"asqmfpmg",18
"195","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,"asqmfp",405
"196","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,"asqp",57
"197","MA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"qmg",33
"198","MA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,"qpmg",45
"199","MA",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,"assdmfpg",18
"200","MA",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"thusmfg",6
"201","MA",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,"thuspm",6
"202","MA",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,"qmfpmg",21
"203","MA",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,"asqmfpm",2
"204","MA",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"umfg",7
"205","MA",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"trusg",2
"206","MA",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,"qmfpm",35
"207","MT",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,"asmimf",1
"208","MT",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"asmim",1
"209","MT",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"trus",27
"210","MT",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"tiusg",9
"211","MT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,"pipm",3
"212","MT",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,"usdg",5
"213","MT",0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,"aspimfp",10
"214","MT",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"aspimf",92
"215","MT",0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,"qsdmfp",20
"216","MT",0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,"qsdmfpg",2
"217","MT",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,"qsdpmg",1
"218","MT",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,"qmfpg",35
"219","MT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"pipmg",1
"220","MT",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"upi",1
"221","PA",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,"usmfmg",71
"222","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,"asqusmfpm",51
"223","PA",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,"qusmfpm",1
"224","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,"asqusmfpg",8
"225","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,"asquspm",5
"226","PA",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,"quspm",5
"227","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"asqusp",4
