,id,distancia_quilombola_metros,distancia_ind_metros,distancia_urb_metros,distancia_outros_metros,distancia_militar_metros,distancia_semdes_metros,distancia_pi_metros,distancia_us_metros,distancia_min_metros,distancia_p_metros,distancia_m_metros,distancia_g_metros
13,37,155119.03195781622,26593.00263321848,532486.1997326999,1292.394097937844,472.00322490615804,3116.7756384395398,147526.65186468067,4629.221359576902,11651.305960326794,9495.707783510019,12663.526641329667,4698.654563843313
14,38,155528.0891125663,27076.259567040594,532752.1982407575,1292.394097937844,472.00322490615804,3116.7756384395398,147991.2324673011,4275.483583256679,11434.188338866334,9717.853662732889,12458.757857576713,4343.433981348754
15,39,148994.91909115284,21400.83627405531,527513.5433201649,1292.394097937844,472.00322490615804,3116.7756384395398,141183.01640633744,10761.977790365443,10013.300151699494,6762.008552742877,13832.976368218579,10833.395966482736
16,41,129350.20031980673,11436.403529891448,509001.8146869134,1292.394097937844,472.00322490615804,8986.189850973105,122677.32021952195,23977.761663880774,993.7803571136106,25.897394243896205,8893.297130946845,14013.935935549269
17,50,399699.9525719632,34530.837954641596,6295.99085296189,1292.394097937844,60.25605962660019,3230.1669545511513,29432.54439268263,680.2173903075629,106.70884438549768,1087.9752406744283,151.15370972066313,2233.1210250335916
18,70,339001.54105683626,22097.74935819941,16072.37792157832,1292.394097937844,60.25605962660019,12489.668105277879,27153.54833490135,3620.7145856026277,1498.7748319286504,299.68802016135675,869.7697615039278,7034.937804261129
19,72,331314.17436305434,69746.86211275758,25689.78383412894,1292.394097937844,60.25605962660019,326.435336756144,15456.546633686758,10336.453542422005,1199.6059087666988,1199.6059087676117,1581.717356014756,7335.797420086473
20,73,308424.50657672225,56699.352386703446,14896.082847794154,1292.394097937844,60.25605962660019,326.435336756144,40735.06185918941,26328.309416874734,500.54482212758444,377.42079496182424,547.5293208471313,1835.2217120986008
21,79,379493.15638699365,69457.35381807639,24575.470136409873,1292.394097937844,60.25605962660019,1683.215405992384,21628.991924432747,28103.804177002094,74.63105630702013,961.2164367109367,2288.788778670365,2284.132460533688
22,93,315342.3600139292,74339.61346007566,28689.33292663683,1292.394097937844,60.25605962660019,1024.3901389484574,31921.458178781257,9560.873557617033,581.3104599793741,251.01855761450915,3022.831188700012,9513.620807055488
23,113,400094.95297098364,73870.50928959933,15017.049761755105,1292.394097937844,60.25605962660019,1683.215405992384,7920.1175104016675,12677.545676591502,29.767490830777437,342.29520101738115,463.071798913166,6265.601800102436
24,115,383844.22248285526,35348.9221484097,1529.6519195776352,1292.394097937844,60.25605962660019,15.1533883797406,35322.70559650457,151.48241722826256,996.2566501570232,1233.1070837979357,2200.4414352205813,173.82450771322252
25,119,372154.6484336233,38346.73995841972,7590.416564398729,1292.394097937844,60.25605962660019,5346.695527346667,42121.229385504164,13491.106117237818,198.9441394006115,479.3248370742864,1546.7120297634217,388.20060796295587
26,121,353718.55923887005,62365.78811833053,33550.619037832956,1292.394097937844,60.25605962660019,135.9825342796404,9313.265986206607,18322.321789543905,1109.7632475564485,763.7668308181416,3120.520889173812,10933.18594058341
27,125,385075.6674253375,38086.8034167694,110.23535717323149,1292.394097937844,60.25605962660019,15.1533883797406,38053.91140697781,652.3918303012878,1714.8627275655617,2185.313565447052,2175.5792058915367,2199.6272155891184
28,130,338549.75901005045,69613.02613158089,28309.891775295026,1292.394097937844,60.25605962660019,326.435336756144,8152.690366774939,9338.58996564952,413.897357099435,67.28048010434067,1790.544702726641,971.4050539840453
29,138,385032.34594915377,37357.81077886489,44.74956156542524,1292.394097937844,60.25605962660019,15.1533883797406,37325.68274229117,174.82786898757047,974.6688710288453,1613.671241099061,1604.350068193276,1445.6714573955028
30,147,393204.6953830594,70141.99916539031,21818.614665475354,1292.394097937844,60.25605962660019,1683.215405992384,7200.689823547451,18347.75949955172,657.9162856732246,2061.6250664803533,1194.4371088034495,2867.5406350500753
31,148,321938.6520413263,76433.84954151651,30572.904657236217,1292.394097937844,60.25605962660019,1024.3901389484574,25750.93509246272,6288.458082019874,691.7488944695851,1.670613631813316,538.7219193513309,6218.899630380201
32,149,321990.3308821684,79094.67516475837,33232.23130256598,1292.394097937844,60.25605962660019,1024.3901389484574,26122.090985390845,3730.6945997181247,23.100368751671727,468.3319785752271,1184.6325188349144,3661.0077572311366
