"","X","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g"
"1412",1412,1505064,"Novo Repartimento","PA",-49.63249973,-4.142688905,"Correinha (PA-BA-25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1413",1413,1503093,"Goianésia do Pará","PA",-49.54017383,-4.249572866,"Vila Brabo (PA-BA-26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1414",1414,1505064,"Novo Repartimento","PA",-49.53627031,-4.431989712,"Remans?o (PA-BA-27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1415",1415,1503093,"Goianésia do Pará","PA",-49.49200456,-4.429059046,"Ilha Tocantins (PA-BA-28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1416",1416,1503093,"Goianésia do Pará","PA",-49.45755745,-4.389837165,"Juari (PA-BA-29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1417",1417,1501782,"Breu Branco","PA",-49.58972072,-3.504984313,"Bom Futuro (PA-BA-3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1418",1418,1508100,"Tucuruí","PA",-49.69733923,-3.737475531,"Bom Jesus (PA-BA-30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1419",1419,1508100,"Tucuruí","PA",-49.67012987,-3.617703917,"Camargo (PA-BA-31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1420",1420,1501782,"Breu Branco","PA",-49.65511792,-3.712525669,"Itapai?na (PA-BA-4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1421",1421,1501782,"Breu Branco","PA",-49.65058141,-3.736207298,"Mundurucus I (PA-BA-5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1422",1422,1501782,"Breu Branco","PA",-49.64677882,-3.760866156,"Mundurucu II (PA-BA-6)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1423",1423,1501782,"Breu Branco","PA",-49.63116734,-3.786487617,"Embaubal (PA-BA-7)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"1424",1424,1508100,"Tucuruí","PA",-49.66264302,-3.776553473,"Cocal (PA-BA-8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1425",1425,1508100,"Tucuruí","PA",-49.716244,-3.668067603,"Mangal I (PA-BA-9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1426",1426,1100080,"Costa Marques","RO",-64.31785037,-12.28516774,"Continental",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"1427",1427,1100080,"Costa Marques","RO",-64.28533233,-12.26629981,"Pali?ada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1428",1428,1101492,"São Francisco do Guaporé","RO",-63.51409062,-12.05689808,"Taril?ndia I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1429",1429,1101492,"São Francisco do Guaporé","RO",-63.52069232,-12.05871739,"Taril?ndia II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1430",1430,1100080,"Costa Marques","RO",-64.23505431,-12.35414041,"Nova Vida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1431",1431,1101492,"São Francisco do Guaporé","RO",-63.40288285,-11.93327269,"Linha 14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1432",1432,1101492,"São Francisco do Guaporé","RO",-63.45313024,-11.94848311,"Bacurizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1433",1433,1101492,"São Francisco do Guaporé","RO",-63.48621129,-12.117717,"VR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1434",1434,1101492,"São Francisco do Guaporé","RO",-63.476701,-12.059877,"Jaguar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1435",1435,1101492,"São Francisco do Guaporé","RO",-63.47015356,-12.17891061,"Morros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1436",1436,1101492,"São Francisco do Guaporé","RO",-63.43389062,-12.22244338,"Carlito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1437",1437,1101492,"São Francisco do Guaporé","RO",-63.43014569,-12.18969778,"Linha 6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1438",1438,1101492,"São Francisco do Guaporé","RO",-63.50439,-12.26376,"?guia Dourada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
