"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"769",1304203,"Tefé","AM",-64.9596526,-3.635231732,"Tauari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"770",1300029,"Alvarães","AM",-65.04977788,-3.648917131,"Tuyuka",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"asusg",210
"771",1302603,"Manaus","AM",-59.33362115,-3.141622976,"Itaka",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"772",1301902,"Itacoatiara","AM",-59.03555921,-3.211613648,"Jo?o Lima",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"773",1301902,"Itacoatiara","AM",-59.14939711,-3.169142112,"Novo Remanso",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"774",1301902,"Itacoatiara","AM",-59.14497317,-3.16969377,"Novo S?o Jorge",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"775",1301902,"Itacoatiara","AM",-59.19315849,-3.154856524,"Nossa Senhora do Perpetuo Socorro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"776",1301902,"Itacoatiara","AM",-59.15803195,-3.165073885,"Sagrado Cora??o",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"777",1301902,"Itacoatiara","AM",-59.12581115,-3.172989117,"S?o Jo?o",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"778",1301902,"Itacoatiara","AM",-59.07783878,-3.182633467,"Sto Antonio Cauxinau?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"779",1301902,"Itacoatiara","AM",-59.05587319,-3.195262315,"Sta Luzia",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"780",1301902,"Itacoatiara","AM",-59.03161324,-3.213411731,"Sta Maria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"781",1300706,"Boca do Acre","AM",-67.25174,-8.887775,"Mustaf? 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"782",1300706,"Boca do Acre","AM",-67.253296,-8.843822,"Cruzeirinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"783",1300706,"Boca do Acre","AM",-67.244736,-8.875443,"Mustaf? 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"784",1300706,"Boca do Acre","AM",-67.633331,-9.493056,"Andir? 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"785",1300706,"Boca do Acre","AM",-67.628891,-9.499444,"Andir? 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"786",1200450,"Senador Guiomard","AC",-67.697716,-10.265132,"Fazenda Nitcheroy 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"787",1100106,"Guajará-Mirim","RO",-65.384506,-10.614358,"Vila Iata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"788",1200450,"Senador Guiomard","AC",-67.722839,-10.255409,"Estela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"789",1200179,"Capixaba","AC",-67.761101,-10.448932,"Guarani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"790",1200179,"Capixaba","AC",-67.740219,-10.465935,"Hortigranjeira",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"791",1200450,"Senador Guiomard","AC",-67.799629,-10.154848,"Quinari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"792",1200450,"Senador Guiomard","AC",-67.786003,-10.107421,"Benfica",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"793",1200450,"Senador Guiomard","AC",-67.721893,-10.191206,"Fazenda Miss?es",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"794",1300706,"Boca do Acre","AM",-67.172119,-8.886457,"Mustaf? 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"795",1200385,"Plácido de Castro","AC",-67.129036,-10.210682,"Col?nia Deus ? Bom",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"asus",38
"796",1200385,"Plácido de Castro","AC",-67.220108,-10.306902,"Rapirr?",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"asusp",77
"797",1200385,"Plácido de Castro","AC",-67.124107,-10.230335,"Col?nia Santa Maria",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"798",1200385,"Plácido de Castro","AC",-67.12439,-10.207962,"Col?nia Ouro Verde",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"799",1200385,"Plácido de Castro","AC",-67.181198,-10.24906,"Bela Vista",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"800",1200385,"Plácido de Castro","AC",-67.177322,-10.216468,"Fazenda Itaquera/Chin?sio",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"801",1200385,"Plácido de Castro","AC",-67.158638,-10.217768,"Fazenda Vit?ria/Itaquera",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"asus",38
"802",1200385,"Plácido de Castro","AC",-67.171631,-10.203793,"Pl?cido de Castro 3",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"803",1300706,"Boca do Acre","AM",-67.176071,-8.720046,"Boca do Acre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"804",1200179,"Capixaba","AC",-67.726669,-10.413065,"Prohevea (AC-IQ-2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"mg",50
"805",1200450,"Senador Guiomard","AC",-67.389725,-9.873333,"Guarant?",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"806",1200450,"Senador Guiomard","AC",-67.554443,-10.075556,"Alto Alegre",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"asus",38
"807",1200450,"Senador Guiomard","AC",-67.417334,-9.882475,"Sapucaia",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"808",1200401,"Rio Branco","AC",-67.53389,-9.8725,"Fazenda Colorada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"809",1200401,"Rio Branco","AC",-67.496941,-9.963056,"Jac? S?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"810",1200450,"Senador Guiomard","AC",-67.544724,-10.070833,"Fazenda Baixa Verde I",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"asp",66
"811",1200450,"Senador Guiomard","AC",-67.53704217,-10.03681783,"Fazenda Baixa Verde II",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"asp",66
"812",1200450,"Senador Guiomard","AC",-67.652779,-10.295278,"Fazenda Nitcheroy 4 (AC-IQ-18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"813",1200450,"Senador Guiomard","AC",-67.34417,-9.787222,"Fazenda Paran?",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"814",1200450,"Senador Guiomard","AC",-67.3125,-9.771945,"Boa Sorte",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"815",1200450,"Senador Guiomard","AC",-67.344719,-9.771389,"Neuto Lamengo",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"816",1200450,"Senador Guiomard","AC",-67.571114,-10.079722,"Fazenda Atlantica",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"asusp",77
"817",1200179,"Capixaba","AC",-67.666664,-10.523699,"Campo da On?a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"818",1200179,"Capixaba","AC",-67.633057,-10.526111,"Fazenda Gavi?o I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
