"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome"
"158","1303809","São Gabriel da Cachoeira","AM",-69.20444444,0.602222222,"Santa Maria II"
"159","1303809","São Gabriel da Cachoeira","AM",-68.83398288,0.433021523,"Marabitana I"
"160","1303809","São Gabriel da Cachoeira","AM",-69.19694444,0.613333333,"Iauaret? II"
"161","1303809","São Gabriel da Cachoeira","AM",-68.83777778,0.447777778,"Clarindo"
"162","1303809","São Gabriel da Cachoeira","AM",-68.64527778,0.305555556,"S Jeronimo"
"163","1303809","São Gabriel da Cachoeira","AM",-68.66263889,0.286833333,"Z?gue-Z?gue"
"164","1303809","São Gabriel da Cachoeira","AM",-69.19694445,0.613055556,"Iauaret? I"
"165","1303809","São Gabriel da Cachoeira","AM",-69.21222222,0.603055556,"Santa Maria I"
"166","1303809","São Gabriel da Cachoeira","AM",-68.86932533,0.483034699,"Pupunha"
"167","1303809","São Gabriel da Cachoeira","AM",-68.90299049,0.504857339,"Idalino"
"168","1303809","São Gabriel da Cachoeira","AM",-69.20639444,0.584364472,"Fortaleza"
"169","1302702","Manicoré","AM",-61.558131,-5.831062,"?gua Azul"
"170","1300300","Autazes","AM",-59.2003174,-3.549034608,"Aldeia S?o Felix"
"171","1300805","Borba","AM",-59.632597,-4.38785,"Acar? (AM-BO-06)"
"172","1302702","Manicoré","AM",-60.98945804,-5.592485845,"Amparo"
"173","1303304","Novo Aripuanã","AM",-60.393962,-5.222973,"Aripuan? 01"
"174","1303304","Novo Aripuanã","AM",-60.387572,-5.216886,"Aripuan? 02"
"175","1303304","Novo Aripuanã","AM",-60.394521,-5.447917,"Aripuan? 03"
"176","1303304","Novo Aripuanã","AM",-60.41349989,-5.518186433,"Aripuan? 04"
"177","1302702","Manicoré","AM",-61.05023519,-5.639338706,"Atininga 01"
"178","1302702","Manicoré","AM",-61.036751,-5.629359,"Atininga 02"
"179","1300805","Borba","AM",-59.368795,-4.04033,"Axinim (AM-CR-10)"
"180","1302702","Manicoré","AM",-61.67026139,-5.846324109,"Barreira do Capan?"
"181","1301704","Humaitá","AM",-62.890976,-7.860032,"Barreira do Tambaqui"
"182","1302702","Manicoré","AM",-61.47167908,-5.96602305,"Barro Alto"
"183","1302702","Manicoré","AM",-61.26536154,-5.706069133,"Boa Nova (AM-MC-24)"
"184","1302702","Manicoré","AM",-61.642838,-5.837956,"Boa Vista"
"185","1300300","Autazes","AM",-59.19378902,-3.558076648,"Boca da Estrada"
"186","1302702","Manicoré","AM",-61.327055,-5.861855,"Boca do Rio"
"187","1300805","Borba","AM",-59.881474,-4.478313,"Bom Futuro (AM-CR-12)"
"188","1300805","Borba","AM",-59.569217,-4.368576,"Borba (AM-BO-05)"
"189","1302702","Manicoré","AM",-61.009645,-5.534345,"Bracinho"
"190","1302702","Manicoré","AM",-61.040272,-5.533842,"Bra?o Grande"
"191","1300805","Borba","AM",-58.96,-4.127,"Vila Nova"
"192","1300144","Apuí","AM",-59.46375,-8.034388889,"Cachoeira dos Patos"
"193","1302702","Manicoré","AM",-61.460443,-5.810936,"Vista Alegre"
"194","1302702","Manicoré","AM",-60.799254,-5.474636,"Cachoeirinha (AM-MC-30)"
"195","1303304","Novo Aripuanã","AM",-60.446308,-5.188051,"Cacoal"
"196","1300805","Borba","AM",-59.417403,-4.255808,"Cai?ara (AM-BO-02)"
"197","1300805","Borba","AM",-59.1189,-4.0706,"Canum?"
"198","1302702","Manicoré","AM",-61.70556766,-5.851022181,"Capan?zinho"
"199","1300805","Borba","AM",-60.190489,-4.893781,"Caran?"
"200","1300805","Borba","AM",-59.552852,-4.340407,"Castanhal (AM-BO-04)"
"201","1300805","Borba","AM",-59.55035,-4.31984,"Castanhal 02"
"202","1300144","Apuí","AM",-60.18817127,-7.926402863,"Cemit?rio da Sama?ma"
"203","1300300","Autazes","AM",-59.21008479,-3.690015801,"Comunidade S?o Lu?s"
"204","1303304","Novo Aripuanã","AM",-60.532375,-5.244793,"Concei??o (AM-NA-02)"
"205","1302702","Manicoré","AM",-60.990286,-5.618688,"Curralinho (AM-MC-29)"
"206","1302702","Manicoré","AM",-60.9621811,-5.577490168,"Del?cia"
"207","1300805","Borba","AM",-59.1059,-4.0394,"Escola Agr?cola"
"208","1302702","Manicoré","AM",-61.052347,-5.639027,"Escola Terra Preta"
"209","1302702","Manicoré","AM",-61.424479,-5.923133,"Esperan?a"
"210","1302702","Manicoré","AM",-61.357894,-5.883786,"Estir?o (AM-MC-27)"
"211","1302702","Manicoré","AM",-61.26108869,-5.682227437,"Fazenda I (AM-MC-25)"
"212","1302702","Manicoré","AM",-61.191928,-5.656971,"Fazenda II (AM-MC-26)"
"213","1300805","Borba","AM",-59.494297,-4.293316,"Flechal (AM-BO-03)"
"214","1300805","Borba","AM",-59.940536,-4.695211,"Floresta"
"215","1300300","Autazes","AM",-59.21828742,-3.740027513,"Furo do Sampaio"
"216","1302702","Manicoré","AM",-60.91038759,-5.568683005,"Genipapo"
"217","1300805","Borba","AM",-59.77765,-4.37967,"Guajar? (AM-CR-11)"
"218","1300805","Borba","AM",-59.77938969,-4.33812161,"Guajar? 02"
"219","1300805","Borba","AM",-59.7816,-4.3087,"Guajar? 03"
"220","1300805","Borba","AM",-59.3524,-4.1455,"Guariba"
"221","1303304","Novo Aripuanã","AM",-59.971768,-4.897927,"Vista Alegre (AM-NA-06)"
"222","1303106","Nova Olinda do Norte","AM",-59.05112,-3.761411,"Ideal (AM-TU-02)"
"223","1300144","Apuí","AM",-60.03031886,-8.229375893,"Ilha das Caretas"
"224","1302702","Manicoré","AM",-60.723325,-5.465304,"Itapinima (AM-NA-04)"
"225","1300805","Borba","AM",-59.5475,-4.4082,"Jatuarana"
"226","1300805","Borba","AM",-60.175263,-4.893923,"Jos? Jo?o"
"227","1300805","Borba","AM",-59.748365,-4.303214,"Lago do Piau?"
"228","1300805","Borba","AM",-59.736348,-4.282369,"Lago do Piau? 02"
"229","1302702","Manicoré","AM",-61.479924,-5.968711,"Liberdade"
"230","1300805","Borba","AM",-59.833648,-4.42151,"Madeirinha"
"231","1300805","Borba","AM",-58.90660083,-3.90567665,"Mam?o"
"232","1301704","Humaitá","AM",-63.299,-7.492,"Margem do Ipixuna"
"233","1303304","Novo Aripuanã","AM",-60.574366,-5.286433,"Mariepaua"
"234","1300805","Borba","AM",-59.589757,-4.381555,"Matadouro (Urna de Borba)"
"235","1300805","Borba","AM",-60.246814,-4.921,"Mata-Mat?"
"236","1302702","Manicoré","AM",-60.751207,-5.495889,"Mataur?"
"237","1301704","Humaitá","AM",-62.485423,-6.594729,"Monense (AM-MC-21)"
"238","1302702","Manicoré","AM",-61.574866,-5.830336,"Monte Orebe"
"239","1302702","Manicoré","AM",-61.588452,-5.835896,"Monte Si?o"
"240","1301704","Humaitá","AM",-62.828548,-6.99647,"Muanense"
"241","1300805","Borba","AM",-60.22363692,-4.903684473,"Mura (AM-CR-13)"
"242","1302702","Manicoré","AM",-60.734464,-5.405269,"Nazar? do Uru? (AM-NA-03)"
"243","1303304","Novo Aripuanã","AM",-60.409595,-5.499664,"Nova Olinda"
"244","1303304","Novo Aripuanã","AM",-60.353299,-5.10049,"Novo Aripuan? (AM-NA-01)"
"245","1300805","Borba","AM",-59.92909,-4.574946,"Paran? do Mandi"
"246","1300805","Borba","AM",-59.889957,-4.483403,"Paran? do Mandi 02"
"247","1302702","Manicoré","AM",-60.720049,-5.362516,"Paran? do Uru?"
"248","1300144","Apuí","AM",-59.8165,-8.237222222,"Cachoeira da Fortaleza"
"249","1300144","Apuí","AM",-60.1971057,-7.913972734,"Cachoeira da Sama?ma"
"250","1302702","Manicoré","AM",-60.86879689,-5.541012602,"Porto Seguro"
"251","1300805","Borba","AM",-59.4471,-4.2246,"Puru Grande"
"252","1300805","Borba","AM",-59.400013,-4.170811,"Puruzinho"
"253","1300805","Borba","AM",-59.5537,-4.4835,"Puxurizal"
"254","1300805","Borba","AM",-59.5164,-4.4395,"Puxurizal 02"
"255","1300300","Autazes","AM",-59.19763987,-3.544257458,"Ramal 254"
"256","1302702","Manicoré","AM",-60.994231,-5.508264,"Repartimento"
"257","1300805","Borba","AM",-59.88316051,-4.581185523,"Retiro (AM-BO-07)"
"258","1300300","Autazes","AM",-59.060196,-3.650365,"Rosarinho (AM-CR-08)"
"259","1303106","Nova Olinda do Norte","AM",-59.159075,-3.933145,"Santa Ana (AM-TU-01)"
"260","1302702","Manicoré","AM",-60.607929,-5.297205,"Santa Rita"
